"SchemaName","TableName","ColumnId","ColumnName",DataType,"MaxLength","Precision",Scale,"IsNullable"
dbo,"Adelanto",1,Id,"int",4,10,0,False
dbo,"Adelanto",2,"MonedaId","int",4,10,0,False
dbo,"Adelanto",3,"VendedorId","int",4,10,0,False
dbo,"Adelanto",4,"Importe",decimal,9,18,2,False
dbo,"Adelanto",5,"FechaIngreso",datetime,8,23,3,False
dbo,"Adelanto",6,"FechaValor",datetime,8,23,3,False
dbo,"Adelanto",7,"FechaEliminado",datetime,8,23,3,"True"
dbo,"Adelanto",8,"IsEliminado",bit,1,1,0,False
dbo,"Adelanto",9,"UsuarioCreacionId","int",4,10,0,"True"
dbo,"Adelanto",10,"UsuarioEliminacionId","int",4,10,0,"True"
dbo,"AgenteMedioPago",1,Id,"int",4,10,0,False
dbo,"AgenteMedioPago",2,Codigo,"varchar",100,0,0,"True"
dbo,"AgenteMedioPago",3,"Descripcion","varchar",100,0,0,"True"
dbo,AjusteSaldo,1,Id,"int",4,10,0,False
dbo,AjusteSaldo,2,Tipo,"varchar",10,0,0,"True"
dbo,AjusteSaldo,3,"MonedaId","int",4,10,0,False
dbo,AjusteSaldo,4,"Importe",decimal,9,18,2,"True"
dbo,AjusteSaldo,5,"ClienteId","int",4,10,0,"True"
dbo,AjusteSaldo,6,"ProveedorId","int",4,10,0,"True"
dbo,AjusteSaldo,7,FechaAjuste,datetime,8,23,3,"True"
dbo,AjusteSaldo,8,"FechaIngresada",datetime,8,23,3,"True"
dbo,AjusteSaldo,9,"Observaciones","varchar",500,0,0,"True"
dbo,AjusteSaldo,10,"Credito",bit,1,1,0,False
dbo,AjusteSaldo,11,"ConceptoId","int",4,10,0,"True"
dbo,AjusteSaldo,12,"UsuarioNombre","varchar",50,0,0,"True"
dbo,AjusteSaldo,13,"SucursalId","int",4,10,0,"True"
dbo,AjusteSaldo,14,"CobranzaId","int",4,10,0,"True"
dbo,"AjusteSaldoConcepto",1,Id,"int",4,10,0,False
dbo,"AjusteSaldoConcepto",2,"Concepto","varchar",50,0,0,"True"
dbo,"AjusteSaldoConcepto",3,"CuentasContablesId","int",4,10,0,"True"
dbo,AjusteStock,1,idAjuste,"int",4,10,0,False
dbo,AjusteStock,2,"idProducto","int",4,10,0,"True"
dbo,AjusteStock,3,"Cantidad",decimal,9,18,0,False
dbo,AjusteStock,4,Fecha,datetime,8,23,3,"True"
dbo,AjusteStock,5,Motivo,"varchar",200,0,0,"True"
dbo,AjusteStock,6,"SucursalId","int",4,10,0,"True"
dbo,AjusteStock,7,DepositoId,"int",4,10,0,"True"
dbo,"ArchivosClientes",1,Id,"int",4,10,0,False
dbo,"ArchivosClientes",2,"Clienteid","int",4,10,0,"True"
dbo,"ArchivosClientes",3,"NombreArchivoServidor","varchar",255,0,0,"True"
dbo,"ArchivosClientes",4,"NombreAMostrar","varchar",50,0,0,"True"
dbo,"Asientos",1,Id,"int",4,10,0,False
dbo,"Asientos",2,"Numero","int",4,10,0,False
dbo,"Asientos",3,Fecha,datetime,8,23,3,"True"
dbo,"Asientos",4,"Descripcion","nvarchar",500,0,0,"True"
dbo,"Asientos",5,Estado,"nvarchar",2,0,0,False
dbo,"Asientos",6,"Origen","nvarchar",100,0,0,"True"
dbo,"Asientos",7,"AsientoTipoId","int",4,10,0,"True"
dbo,"Asientos",8,"UsuarioIdAlta","int",4,10,0,"True"
dbo,"Asientos",9,"SucursalId","int",4,10,0,"True"
dbo,"AsientosDetalles",1,Id,"int",4,10,0,False
dbo,"AsientosDetalles",2,"AsientoId","int",4,10,0,False
dbo,"AsientosDetalles",3,"CuentaCodigo","nvarchar",100,0,0,False
dbo,"AsientosDetalles",4,"MonedaId","int",4,10,0,False
dbo,"AsientosDetalles",5,"ImporteMO",decimal,9,18,3,"True"
dbo,"AsientosDetalles",6,TipoCambio,decimal,9,18,6,"True"
dbo,"AsientosDetalles",7,"Descripcion","nvarchar",500,0,0,"True"
dbo,"AsientosDetalles",8,TipoMov,"nvarchar",2,0,0,"True"
dbo,"AsientosDetalles",9,"ImporteMN",decimal,9,18,3,"True"
dbo,"AsientosDetalles",10,IdCtaAuxEmpleado,"int",4,10,0,"True"
dbo,"AsientosDetalles",11,"IdCtaAuxBanco","int",4,10,0,"True"
dbo,"AsientosDetalles",12,"IdCtaAuxCtaBancaria","int",4,10,0,"True"
dbo,"AsientosDetalles",13,"IdCtaAuxProveedor","int",4,10,0,"True"
dbo,"AsientosDetalles",14,"IdCtaAuxCliente","int",4,10,0,"True"
dbo,"AsientosTipos",1,Id,"int",4,10,0,False
dbo,"AsientosTipos",2,Codigo,"nvarchar",24,0,0,False
dbo,"AsientosTipos",3,"Descripcion","nvarchar",400,0,0,"True"
dbo,"AsientosTipos",4,"DescripcionGeneralAsiento","nvarchar",500,0,0,"True"
dbo,"AsientosTipos",5,"GeneracionAutomatica",bit,1,1,0,"True"
dbo,"AsientosTiposDetalles",1,Id,"int",4,10,0,False
dbo,"AsientosTiposDetalles",2,"AsientoTipoId","int",4,10,0,False
dbo,"AsientosTiposDetalles",3,"CuentaCodigo","nvarchar",48,0,0,"True"
dbo,"AsientosTiposDetalles",4,"Descripcion","nvarchar",500,0,0,"True"
dbo,"AsientosTiposDetalles",5,TipoMov,"varchar",1,0,0,"True"
dbo,"AsientosTiposDetalles",6,"ConceptoContableCodigo","nvarchar",140,0,0,"True"
dbo,"Bancos",1,Id,"int",4,10,0,False
dbo,"Bancos",2,"Nombre","varchar",50,0,0,False
dbo,Cajas,1,idCaja,"int",4,10,0,False
dbo,Cajas,2,"Descripcion","varchar",50,0,0,"True"
dbo,Cajas,3,"SucursalId","int",4,10,0,"True"
dbo,"CajasConfiguracion",1,id,"int",4,10,0,False
dbo,"CajasConfiguracion",2,idCaja,"int",4,10,0,"True"
dbo,"CajasConfiguracion",3,"Variable","varchar",100,0,0,"True"
dbo,"CajasConfiguracion",4,"Valor","varchar",-1,0,0,"True"
dbo,"CajasCortes",1,Id,"int",4,10,0,False
dbo,"CajasCortes",2,Fecha,datetime,8,23,3,"True"
dbo,"CajasCortes",3,"Usuario","varchar",20,0,0,"True"
dbo,"CajasCortes",4,CajaId,"int",4,10,0,"True"
dbo,"CajasCortes",5,"CantMonNac2000","int",4,10,0,"True"
dbo,"CajasCortes",6,"ImporteMonNac2000",decimal,9,18,2,"True"
dbo,"CajasCortes",7,"CantMonNac1000","int",4,10,0,"True"
dbo,"CajasCortes",8,"ImporteMonNac1000",decimal,9,18,2,"True"
dbo,"CajasCortes",9,"CantMonNac500","int",4,10,0,"True"
dbo,"CajasCortes",10,"ImporteMonNac500",decimal,9,18,2,"True"
dbo,"CajasCortes",11,"CantMonNac200","int",4,10,0,"True"
dbo,"CajasCortes",12,"ImporteMonNac200",decimal,9,18,2,"True"
dbo,"CajasCortes",13,"CantMonNac100","int",4,10,0,"True"
dbo,"CajasCortes",14,"ImporteMonNac100",decimal,9,18,2,"True"
dbo,"CajasCortes",15,"CantMonNac50","int",4,10,0,"True"
dbo,"CajasCortes",16,"ImporteMonNac50",decimal,9,18,2,"True"
dbo,"CajasCortes",17,"CantMonNac20","int",4,10,0,"True"
dbo,"CajasCortes",18,"ImporteMonNac20",decimal,9,18,2,"True"
dbo,"CajasCortes",19,"CantMonNac10","int",4,10,0,"True"
dbo,"CajasCortes",20,"ImporteMonNac10",decimal,9,18,2,"True"
dbo,"CajasCortes",21,"CantMonNac5","int",4,10,0,"True"
dbo,"CajasCortes",22,"ImporteMonNac5",decimal,9,18,2,"True"
dbo,"CajasCortes",23,"CantMonNac2","int",4,10,0,"True"
dbo,"CajasCortes",24,"ImporteMonNac2",decimal,9,18,2,"True"
dbo,"CajasCortes",25,"CantMonNac1","int",4,10,0,"True"
dbo,"CajasCortes",26,"ImporteMonNac1",decimal,9,18,2,"True"
dbo,"CajasCortes",27,"CantMonDol100","int",4,10,0,"True"
dbo,"CajasCortes",28,"ImporteMonDol100",decimal,9,18,2,"True"
dbo,"CajasCortes",29,"CantMonDol50","int",4,10,0,"True"
dbo,"CajasCortes",30,"ImporteMonDol50",decimal,9,18,2,"True"
dbo,"CajasCortes",31,"CantMonDol20","int",4,10,0,"True"
dbo,"CajasCortes",32,"ImporteMonDol20",decimal,9,18,2,"True"
