"FKName","FromSchema","FromTable","FromColumn",ToSchema,ToTable,"ToColumn"
"FK__Adelanto__Moneda__5F14E4AF",dbo,"Adelanto","MonedaId",dbo,"Monedas","idMoneda"
"FK__Adelanto__Usuari__60FD2D21",dbo,"Adelanto","UsuarioCreacionId",dbo,"Usuarios","idUsuario"
"FK__Adelanto__Usuari__61F1515A",dbo,"Adelanto","UsuarioEliminacionId",dbo,"Usuarios","idUsuario"
"FK__Adelanto__Vended__600908E8",dbo,"Adelanto","VendedorId",dbo,"Vendedores","idVendedor"
"FK_AjusteSaldo_ClienteId",dbo,AjusteSaldo,"ClienteId",dbo,"Clientes","idCliente"
"FK_AjusteSaldo_Cobranza",dbo,AjusteSaldo,"CobranzaId",dbo,"Cobranzas",Id
"FK_AjusteSaldo_ConceptoId",dbo,AjusteSaldo,"ConceptoId",dbo,"AjusteSaldoConcepto",Id
"FK_AjusteSaldo_MonedaId",dbo,AjusteSaldo,"MonedaId",dbo,"Monedas","idMoneda"
"FK_AjusteSaldo_ProveedorId",dbo,AjusteSaldo,"ProveedorId",dbo,"Proveedores","idProveedor"
"FK_AjusteSaldo_Sucursal",dbo,AjusteSaldo,"SucursalId",dbo,"Sucursales",id
"FK_AjusteSaldoConcepto_CuentasContablesId",dbo,"AjusteSaldoConcepto","CuentasContablesId",dbo,"CuentasContables","CuentasContablesId"
FK__AjusteSto__Depos__108157BA,dbo,AjusteStock,DepositoId,dbo,Depositos,idDeposito
"FK__AjusteSto__idPro__61F08603",dbo,AjusteStock,"idProducto",dbo,"Productos","idProducto"
"FK_AjusteStock_Sucursales",dbo,AjusteStock,"SucursalId",dbo,"Sucursales",id
"FK__ArchivosC__Nombr__4E697B9A",dbo,"ArchivosClientes","Clienteid",dbo,"Clientes","idCliente"
"FK_AsientosDetalles_Asientos",dbo,"AsientosDetalles","AsientoId",dbo,"Asientos",Id
"FK_AsientosTiposDetalles_AsientosTipos",dbo,"AsientosTiposDetalles","AsientoTipoId",dbo,"AsientosTipos",Id
"_TerminalesPos",dbo,"CajasTerminalesPos","TerminalPosId",dbo,"TerminalesPos",Id
"FK_CajasTerminalesPos_Caja",dbo,"CajasTerminalesPos",CajaId,dbo,Cajas,idCaja
"FK__Categoria__idImp__442B18F2",dbo,"CategoriasFiscales",idImpuesto,dbo,Impuestos,id
"FK__Categoria__idImp__4242D080",dbo,"CategoriasImpositivas",idImpuesto,dbo,Impuestos,id
"FK_CategoriasProducto_CategoriasMercadoLibre",dbo,"CategoriasProducto","CategoriaMercadoLibreId",dbo,"CategoriasMercadoLibre",Id
"FK__Cheques__IdBanco__2E7BCEF5",dbo,Cheques,"IdBanco",dbo,"Bancos",Id
"FK__cheques__idMoned__7B5B524B",dbo,Cheques,"idMoneda",dbo,"Monedas","idMoneda"
"FK_Cheques_CuentasBancarias",dbo,Cheques,"idCuentaBancariaDeposito",dbo,"CuentasBancarias","idCuenta"
FK_Cheques_MedioPago,dbo,Cheques,MedioPagoId,dbo,MediosPago,idMedioPago
"FK__CierreCaj__CajaI__3B0C8E63",dbo,"CierreCaja",CajaId,dbo,Cajas,idCaja
"FK__CierreCaj__Usuar__3C00B29C",dbo,"CierreCaja","UsuarioId",dbo,"Usuarios","idUsuario"
FK__ciudades__idDepa__2B3F6F97,dbo,Ciudades,"idDepartamento",dbo,"Departamentos","idDepartamento"
"FK__clientes__idCat__4BAC3F29",dbo,"Clientes",idCat,dbo,"CategoriasCliente",idCat
"FK__clientes__idCiud__49C3F6B7",dbo,"Clientes",idCiudad,dbo,Ciudades,idCiudad
"FK__clientes__idPais__4AB81AF0",dbo,"Clientes",idPais,dbo,Paises,idPais
"FK__clientes__idTipo__48CFD27E",dbo,"Clientes",idTipoDoc,dbo,TipoDocId,idTipoDocId
"FK__Clientes__IdUsua__371114F6",dbo,"Clientes","IdUsuarioCliente",dbo,"ClientesUsuarios",Id
"FK_Clientes_CanalesCaptacion",dbo,"Clientes","CanalCaptacionId",dbo,"ClientesCanalesCaptacion",Id
"FK_Clientes_CategoriasFiscales",dbo,"Clientes",CatFiscalCodigo,dbo,"CategoriasFiscales",Codigo
"FK_Clientes_Convenios",dbo,"Clientes","ConvenioId",dbo,"Convenios",Id
"FK_Clientes_Especialista",dbo,"Clientes",EspecialistaId,dbo,"Doctor",Id
"FK_Clientes_ListaPrecios",dbo,"Clientes","ListaPreciosId",dbo,"ListaPrecios",Id
"FK_Clientes_VendedorAgendado",dbo,"Clientes","VendedorAgendadoId",dbo,"Vendedores","idVendedor"
"FK_ClientesFechaPago_Clientes",dbo,"ClientesFechaPago","ClienteId",dbo,"Clientes","idCliente"
"FK__ClientesO__Clien__7B4643B2",dbo,"ClientesObservaciones","ClienteId",dbo,"Clientes","idCliente"
"FK_ClientesServicios_Cliente",dbo,"ClientesServicios","ClienteId",dbo,"Clientes","idCliente"
"FK_ClientesServicios_Moneda",dbo,"ClientesServicios","MonedaId",dbo,"Monedas","idMoneda"
"FK_ClientesServicios_Producto",dbo,"ClientesServicios","ProductoId",dbo,"Productos","idProducto"
"FK_ClientesServicios_SucursalId",dbo,"ClientesServicios","SucursalId",dbo,"Sucursales",id
"FK_Cliente_ClienteSucursales",dbo,"ClienteSucursales","ClienteId",dbo,"Clientes","idCliente"
"FK_ClientesSucursales_FranquiciaId",dbo,"ClienteSucursales","FranquiciaId",dbo,"ClienteSucursales","ClienteSucursalId"
