"SchemaName","TableName","ApproxRows","ColumnCount"
dbo,"Productos",822136,56
dbo,"AsientosDetalles",252182,14
dbo,"OrdenesTrabajo",238542,83
dbo,"Ventas",184212,42
dbo,"VentasLineas",107472,16
dbo,"Clientes",87740,41
dbo,"OrdenesTrabajoReceta",78630,30
dbo,"MensajesEnviados",61698,14
dbo,"Asientos",58275,9
dbo,AjusteStock,53893,7
dbo,"VentasMediosPago",53460,15
dbo,"Eventos",45760,20
dbo,"ProductosCodigos",44547,3
dbo,"OrdenesTrabajoCristales",27900,12
dbo,"OrdenesTrabajoArmazones",24850,14
dbo,"Compras",24054,38
dbo,"Cupones",23441,11
dbo,"Cobranzas",22338,17
dbo,"CobranzasMediosPago",19635,15
dbo,"ComprasLineas",15708,17
dbo,"OrdenesTrabajoEtapasHistorico",15432,6
dbo,"Notificaciones",14400,3
dbo,"RemitosLineas",9260,5
dbo,"MonedasCotizaciones",8890,7
dbo,"OrdenesTrabajoOrdenesDescuento",8606,13
dbo,"Remitos",8148,21
dbo,"CajasCortes",6710,55
dbo,"VentasCfeInfo",6192,8
dbo,"NotificacionesUsuario",5820,5
dbo,"PedidosLineas",5038,11
dbo,"PosTransacciones",4515,15
dbo,"VentaOrdenesTrabajo",4362,3
dbo,"OrdenesECommerce",4080,24
dbo,Cheques,3638,17
dbo,"OrdenesTrabajoProductos",3536,13
dbo,"CobranzasVentas",3219,3
dbo,"OrdenesECommerceLineas",2068,11
dbo,"Menu",2060,10
dbo,"Proveedores",2040,20
dbo,"OrdenesTrabajoOperaciones",1903,11
dbo,"MovimientosCajas",1824,12
dbo,"ParametrosSucursales",1672,8
dbo,Pedidos,1573,13
dbo,"LiquidacionesTarjetasMediosPago",1530,10
dbo,"LiquidacionesTarjetas",1515,15
dbo,"OrdenesTrabajoAccesorios",1503,9
dbo,"MovimientosCajasMediosPago",1496,8
dbo,"LiquidacionesTarjetasVouchers",1456,14
dbo,PagosMediosPago,1452,11
dbo,"CierreCajaHistory",1360,8
dbo,"ProductosColor",1329,3
dbo,Pagos,1276,11
dbo,"Resguardos",1265,23
dbo,"Parametros",1240,8
dbo,AjusteSaldo,1204,14
dbo,"RelRolesMenu",1180,2
dbo,"ListaPreciosDetalle",1155,5
dbo,"RemitosLineasFacturadas",1000,5
dbo,"ComprasMediosPago",930,10
dbo,"ResguardoConceptos",868,4
dbo,"LiquidacionesTarjetasLineas",856,4
dbo,"OrdenesTrabajoOperacionesDoctores",855,3
dbo,"CuentasContables",840,5
dbo,"RolesPermisos",837,3
dbo,"GiftCard",768,8
dbo,MediosPago,693,21
dbo,"Permisos",656,4
dbo,"ComprasLineasCosto",651,7
dbo,Ciudades,636,3
dbo,Paises,600,3
dbo,"ConsultaOftalmologica",558,31
dbo,"ResguardosLineas",522,9
dbo,"OrdentrabajoCupones",456,3
dbo,"CierreCaja",408,8
dbo,"EnvioOrdenTrabajoLaboratorio",387,9
dbo,"OrdenesTrabajoEstudios",384,12
dbo,"VentasNotificadasShopping",343,7
dbo,"EventosDoctores",342,3
dbo,"OrdenesTrabajoTratamientos",336,12
dbo,"ReferidosMovimientos",336,8
dbo,"VentasEnviosPendientes",336,6
dbo,"ProductosProveedor",288,6
dbo,"OrdenesDescuentoTipo",286,13
dbo,"LiquidacionesTarjetasMediosPagoLiquidados",272,8
dbo,"CategoriasProducto",264,8
dbo,"EnvioMensajesPreGuardados",260,13
dbo,"Usuarios",252,12
dbo,"TarjetaComisionCuota",220,10
dbo,"CobranzaOrdenDescuento",210,10
dbo,"NumeracionDocumentos",208,4
dbo,"ProductosColorCristal",204,3
dbo,"ClientesServicios",203,7
dbo,"EventosNotificaciones",170,10
dbo,"ComprasCostos",162,3
dbo,"ConteoDetalle",155,5
dbo,"AsientosTiposDetalles",144,6
dbo,"ProductosImagenes",141,3
dbo,"ClienteSucursales",130,10
dbo,"EventosNotificacionesProcesos",115,5
dbo,"MediosPagoCuentasContables",115,5
dbo,"Adelanto",110,10
dbo,"Vendedores",102,6
dbo,"ClientesUsuarios",95,5
dbo,"CuentasBancarias",91,7
dbo,"ConceptosContables",90,3
dbo,"Marca",90,5
dbo,"ClientesUsuariosSolicitudes",88,8
dbo,"ProveedoresConciliaciones",88,8
dbo,"Laboratorio",85,5
dbo,"Conteo",80,8
dbo,"CuentasBancariasMovimientos",77,11
dbo,"DocumentoFactura",72,2
dbo,"ProveedoresIntegracionesConfiguracion",70,5
dbo,"ClientesFechaPago",66,6
dbo,"TerminalesPosConfiguracion",65,5
dbo,"CategoriasImpositivas",60,5
dbo,"Departamentos",60,3
dbo,"OrdenesECommerceRecetas",60,20
dbo,"ProveedoresFechaPago",60,6
dbo,"TarjetaComisionMedioPago",60,10
dbo,"ClientesObservaciones",56,4
dbo,"AsientosTipos",55,5
dbo,"OrdenesECommerceDocumentosReferencia",55,5
dbo,"Convenios",54,3
dbo,"MediosPagoAgenteMedioPago",54,3
dbo,"ProductosForma",54,3
dbo,"ConceptosLiquidacionTarjetas",49,7
dbo,"Sucursales",49,7
dbo,"EventosAgendaRoles",48,3
dbo,"OrdenesDescuentoTipoCuentasBancarias",44,4
dbo,"VentasSaldosMovimientos",44,4
dbo,"VendedoresRolesComision",42,7
dbo,"Promociones",40,10
dbo,"CategoriasMercadoLibre",39,3
dbo,Impuestos,35,7
dbo,"ComprasRemitos",33,3
dbo,"ArchivosClientes",32,4
